lat,lon,speed_kph
-31.3621747027447,-64.2767316132889,64
-31.363022109987,-64.2756007301472,64
-31.3638472497242,-64.2766714920404,64
-31.3642603499714,-64.2789426411198,64
-31.3650072,-64.2779463,64
-31.3638986,-64.2773275,64
-31.3630202,-64.27659025,64
-31.3630616448514,-64.2820326745317,64
-31.3649655302457,-64.2804481607925,64
-31.3632778958924,-64.2816059688797,64
-31.3636697088222,-64.2749686935641,64
-31.3619189656461,-64.2790894501083,64
-31.3631793,-64.27975605,64
-31.3631653527833,-64.2805661416299,64
-31.3632257982317,-64.2806572191169,64
-31.3633491001724,-64.2809422936202,64
-31.36401455,-64.2771003,64
-31.3640458242692,-64.2773473939706,64
-31.3640015555507,-64.2774330734044,64
-31.362802,-64.2763986,64
-31.3639265,-64.2779259,64
-31.36302455,-64.2810877,64
-31.3632110302936,-64.2790527481488,64
-31.36337245,-64.27652505,64
-31.3638912,-64.27712,64
-31.3631814,-64.27659795,64
-31.363272997934,-64.2791240140184,64
-31.3634822,-64.2791287,64
-31.3636595433339,-64.2791016743339,64
-31.3631606792212,-64.2767064705521,64
-31.3632694142595,-64.2764762538769,64
-31.36329225,-64.2808639,64
-31.3632713097167,-64.2807343815317,64
-31.3631872,-64.28056595,64
-31.36309035,-64.28082375,64
-31.36311575,-64.2807154,64
-31.363179073832,-64.280459,64
-31.36317905,-64.2803163,64
-31.36317945,-64.2801383,64
-31.36317985,-64.27993875,64
-31.3631785,-64.2795673,64
-31.3631813,-64.279385,64
-31.3631931095138,-64.279235406415,64
-31.36322095,-64.2791693,64
-31.36334115,-64.2791241,64
-31.3634127,-64.27912645,64
-31.363545,-64.27913075,64
-31.363594444007,-64.2791288591259,64
-31.3637097,-64.27900315,64
-31.3637295,-64.2789126,64
-31.3637497,-64.27881155,64
-31.36376945,-64.27871255,64
-31.3637899,-64.27861005,64
-31.36381245,-64.2784971,64
-31.36383915,-64.27836335,64
-31.3638698,-64.27820995,64
-31.36389875,-64.2780651,64
-31.36399765,-64.2775696,64
-31.36395475,-64.27778425,64
-31.3639781,-64.27766745,64
-31.36401495,-64.27748445,64
-31.36396105,-64.2773852,64
-31.3639303,-64.27730805,64
-31.3639093,-64.2772078,64
-31.3638763,-64.27704775,64
-31.36386275,-64.2769858,64
-31.3638057495594,-64.2768965567965,64
-31.36375345,-64.2768517,64
-31.3636928,-64.2767997,64
-31.36362385,-64.27674065,64
-31.3635442,-64.27667235,64
-31.36346145,-64.27660135,64
-31.3632898913425,-64.2764712539105,64
-31.36323365,-64.27651055,64
-31.3632106,-64.2765468,64
-31.3631616721091,-64.2766356476251,64
-31.3631928839022,-64.2767475308031,64
-31.3632268,-64.27677805,64
-31.36326035,-64.27680785,64
-31.363297,-64.27684035,64
-31.3633345,-64.2768736,64
-31.36337025,-64.27690535,64
-31.3634048,-64.27693605,64
-31.3634415,-64.27696695,64
-31.36349495,-64.2770098,64
-31.36356195,-64.2770635,64
-31.36362925,-64.27711745,64
-31.3637163034117,-64.2771865526389,64
-31.3637673,-64.277226,64
-31.36382475,-64.2772704,64
-31.3639949,-64.2770746,64
-31.3628742,-64.2764607,64
-31.3632813,-64.2814756,64
-31.3630793,-64.2814678,64
-31.3630273,-64.2808772,64
-31.3633506,-64.2808868,64
-31.3662992,-64.2792398,64
-31.3666829,-64.2787661,64
-31.3632896,-64.2809994,64
-31.363079,-64.2812999,64
