lat,lon,Vel_kmh
-31.3621747027447,-64.2767316132889,130
-31.363022109987,-64.2756007301472,130
-31.3638472497242,-64.2766714920404,120
-31.3642603499714,-64.2789426411198,100
-31.3650072,-64.2779463,130
-31.3638986,-64.2773275,120
-31.3630202,-64.27659025,120
-31.3630616448514,-64.2820326745317,130
-31.3649655302457,-64.2804481607925,130
-31.3632778958924,-64.2816059688797,120
-31.3636697088222,-64.2749686935641,130
-31.3619189656461,-64.2790894501083,130
-31.3631793,-64.27975605,60
-31.3631653527833,-64.2805661416299,60
-31.3632257982317,-64.2806572191169,60
-31.3633491001724,-64.2809422936202,100
-31.36401455,-64.2771003,120
-31.3640458242692,-64.2773473939706,120
-31.3640015555507,-64.2774330734044,120
-31.362802,-64.2763986,130
-31.3639265,-64.2779259,100
-31.36302455,-64.2810877,120
-31.3632110302936,-64.2790527481488,60
-31.36337245,-64.27652505,120
-31.3638912,-64.27712,120
-31.3631814,-64.27659795,120
-31.363272997934,-64.2791240140184,60
-31.3634822,-64.2791287,60
-31.3636595433339,-64.2791016743339,60
-31.3631606792212,-64.2767064705521,120
-31.3632694142595,-64.2764762538769,120
-31.36329225,-64.2808639,60
-31.3632713097167,-64.2807343815317,60
-31.3631872,-64.28056595,60
-31.36309035,-64.28082375,60
-31.36311575,-64.2807154,60
-31.363179073832,-64.280459,60
-31.36317905,-64.2803163,60
-31.36317945,-64.2801383,60
-31.36317985,-64.27993875,60
-31.3631785,-64.2795673,60
-31.3631813,-64.279385,60
-31.3631931095138,-64.279235406415,60
-31.36322095,-64.2791693,60
-31.36334115,-64.2791241,60
-31.3634127,-64.27912645,60
-31.363545,-64.27913075,60
-31.363594444007,-64.2791288591259,60
-31.3637097,-64.27900315,60
-31.3637295,-64.2789126,60
-31.3637497,-64.27881155,60
-31.36376945,-64.27871255,60
-31.3637899,-64.27861005,60
-31.36381245,-64.2784971,60
-31.36383915,-64.27836335,60
-31.3638698,-64.27820995,60
-31.36389875,-64.2780651,60
-31.36399765,-64.2775696,100
-31.36395475,-64.27778425,100
-31.3639781,-64.27766745,100
-31.36401495,-64.27748445,100
-31.36396105,-64.2773852,100
-31.3639303,-64.27730805,100
-31.3639093,-64.2772078,100
-31.3638763,-64.27704775,100
-31.36386275,-64.2769858,100
-31.3638057495594,-64.2768965567965,100
-31.36375345,-64.2768517,100
-31.3636928,-64.2767997,100
-31.36362385,-64.27674065,100
-31.3635442,-64.27667235,100
-31.36346145,-64.27660135,100
-31.3632898913425,-64.2764712539105,100
-31.36323365,-64.27651055,100
-31.3632106,-64.2765468,100
-31.3631616721091,-64.2766356476251,100
-31.3631928839022,-64.2767475308031,100
-31.3632268,-64.27677805,100
-31.36326035,-64.27680785,100
-31.363297,-64.27684035,100
-31.3633345,-64.2768736,100
-31.36337025,-64.27690535,100
-31.3634048,-64.27693605,100
-31.3634415,-64.27696695,100
-31.36349495,-64.2770098,100
-31.36356195,-64.2770635,100
-31.36362925,-64.27711745,100
-31.3637163034117,-64.2771865526389,100
-31.3637673,-64.277226,100
-31.36382475,-64.2772704,100
-31.3639949,-64.2770746,100
-31.3628742,-64.2764607,130
-31.3632813,-64.2814756,120
-31.3630793,-64.2814678,120
-31.3630273,-64.2808772,60
-31.3633506,-64.2808868,60
-31.3662992,-64.2792398,130
-31.3666829,-64.2787661,130
-31.3632896,-64.2809994,60
-31.363079,-64.2812999,120
